"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28"
"Tascons_1 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_1 2016 Tractament",0,0,0,0,0,0,0,0,5,5,5,5,10,15,25,40,40,70,70,70,80,90,90,90,100,100,100,100,100
"Tascons_1 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_1 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,60,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_10 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_10 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,5,5,5,5,5,10
"Tascons_10 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_10 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tascons_10 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_10 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,20,50,60,90,90,100,100,100,100,100,100
"Tascons_11 2015 Control",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Tascons_11 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,20,20,20,20,20
"Tascons_11 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_11 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,10,10
"Tascons_11 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_11 2017 Tractament",0,0,0,0,0,0,0,0,0,5,10,20,50,60,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_12 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Tascons_12 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5
"Tascons_12 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,40
"Tascons_12 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_12 2017 Tractament",0,0,0,0,0,0,0,0,0,0,5,5,10,15,20,30,30,50,90,100,100,100,100,100,100,100,100,100,100
"Tascons_13 2015 Control",0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"Tascons_13 2015 Tractament",0,0,0,0,10,10,10,10,10,10,10,10,10,10,15,20,25,25,30,30,30,30,40,45,45,45,45,45,50
"Tascons_13 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_13 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,10,10,10,10,40,40,50,80,85
"Tascons_13 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_13 2017 Tractament",0,0,0,0,0,0,10,30,30,40,40,50,60,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_14 2015 Control",0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"Tascons_14 2015 Tractament",0,0,0,0,0,0,0,0,10,10,15,15,15,15,35,35,40,50,50,50,50,50,80,80,80,100,100,100,100
"Tascons_14 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_14 2016 Tractament",0,0,0,0,0,0,0,5,5,5,5,30,30,40,50,50,50,80,80,80,90,100,100,100,100,100,100,100,100
"Tascons_14 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_14 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,10,25,70,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_15 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_15 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,6,6,6,6,6,10
"Tascons_15 2016 Tractament",0,0,0,0,0,0,0,0,10,10,10,10,10,15,15,15,15,30,45,45,60,80,80,80,100,100,100,100,100
"Tascons_15 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_15 2017 Tractament",0,0,0,0,0,0,0,0,0,30,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_16 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_16 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,6,10,10,10,10,11
"Tascons_16 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_16 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,40,50,50
"Tascons_16 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_16 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,5,5,30,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_17 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_17 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10
"Tascons_17 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,10,10,10,10,15
"Tascons_17 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_17 2017 Tractament",0,0,0,0,0,0,0,0,0,0,5,10,10,20,60,80,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_18 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_18 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_18 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_18 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_18 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,5,20,60,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_19 2015 Control",0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"Tascons_19 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_19 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_19 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_19 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_19 2017 Tractament",0,0,0,0,0,0,0,0,0,5,5,20,50,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_2 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_2 2015 Tractament",15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"Tascons_2 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_2 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tascons_2 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_2 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,10,40,40,50,60,80,100,100,100,100,100,100,100,100,100,100
"Tascons_20 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_20 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tascons_20 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_20 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,20,20,20,55,70,80,80,95
"Tascons_20 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_20 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,40,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_21 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_21 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,15,15,20,20,20,45
"Tascons_21 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_21 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,10,10,10,10,10,10,10,10,10,20,25,35,35,40
"Tascons_21 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_21 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,90,100,100,100,100,100,100,100,100,100,100
"Tascons_22 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_22 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,15,15,15,15,50,55,55,80,80,80,100
"Tascons_22 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_22 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,25,50,70
"Tascons_22 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_22 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,50,90,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_23 2015 Control",0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"Tascons_23 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,10,10,10,10,10,40
"Tascons_23 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_23 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,10,10,10,80,80,80,80,80
"Tascons_23 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_23 2017 Tractament",0,0,0,0,0,0,0,0,0,0,10,15,15,15,50,80,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_24 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_24 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2
"Tascons_24 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_24 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_24 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_24 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,5,5,10,35,60,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_25 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_25 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,20,20,20,20,30
"Tascons_25 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_25 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,20,30,40,50,50
"Tascons_25 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_25 2017 Tractament",0,0,0,0,0,0,0,0,0,0,10,15,15,15,20,30,30,60,90,100,100,100,100,100,100,100,100,100,100
"Tascons_26 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_26 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,5,5,5,20,20,20,20,20,90
"Tascons_26 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_26 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,20,20,20,90,90,90,90,90
"Tascons_26 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_26 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,60,90,100,100,100,100,100,100,100,100,100
"Tascons_27 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_27 2015 Tractament",0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,10,10,10,10,10,10,20
"Tascons_27 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_27 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,20,45,85,85,85,95,100,100,100,100
"Tascons_27 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_27 2017 Tractament",0,0,0,0,0,0,0,0,0,0,10,15,15,15,20,20,35,80,100,100,100,100,100,100,100,100,100,100,100
"Tascons_28 2015 Control",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
"Tascons_28 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,45,45,80,80,80,100
"Tascons_28 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_28 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10
"Tascons_28 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_28 2017 Tractament",0,0,0,0,0,0,0,0,0,5,10,20,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_29 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_29 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,10,10,25
"Tascons_29 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_29 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,10
"Tascons_29 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_29 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,20,40,100,100,100,100,100,100,100,100,100,100,100
"Tascons_3 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_3 2015 Tractament",15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,80,80,80,80,80
"Tascons_3 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_3 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,20,20,20,20,20,20,50,50,50,50,50
"Tascons_3 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_3 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,5,5,15,25,60,70,80,90,100,100,100,100,100,100,100,100,100,100
"Tascons_30 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_30 2015 Tractament",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,6,6,6,6,6,6
"Tascons_30 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_30 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"Tascons_30 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_30 2017 Tractament",0,0,0,0,0,0,0,0,0,0,5,5,5,10,10,15,50,100,100,100,100,100,100,100,100,100,100,100,100
"Tascons_4 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Tascons_4 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,6,6,6,6,6,15
"Tascons_4 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_4 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,20
"Tascons_4 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tascons_4 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,50,60,90,100,100,100,100,100,100,100,100,100,100
